scope,metric,gain_pct,ci_low_pct,ci_high_pct
all,NaturalSupport_gain,1.010,0.507,1.567
H96,NaturalSupport_gain,0.993,-0.374,2.452
H192,NaturalSupport_gain,1.083,0.426,1.798
H336,NaturalSupport_gain,0.826,0.326,1.338
H720,NaturalSupport_gain,1.137,0.272,2.673
all,CalGlobal_gain,0.529,0.225,0.898
H96,CalGlobal_gain,0.362,-0.330,1.098
H192,CalGlobal_gain,0.604,0.127,1.249
H336,CalGlobal_gain,0.414,0.057,0.923
H720,CalGlobal_gain,0.737,0.242,1.735
all,CrossFitSafe_gain,0.388,0.155,0.661
H96,CrossFitSafe_gain,0.442,-0.111,1.117
H192,CrossFitSafe_gain,0.500,0.065,1.163
H336,CrossFitSafe_gain,0.376,0.009,0.910
H720,CrossFitSafe_gain,0.234,0.046,0.438
all,CalChannelShrink_gain,0.585,0.347,0.857
H96,CalChannelShrink_gain,0.593,0.011,1.173
H192,CalChannelShrink_gain,0.721,0.389,1.259
H336,CalChannelShrink_gain,0.435,0.068,0.942
H720,CalChannelShrink_gain,0.589,0.274,1.191
