dataset,pred_len,controlled_ridge_gain_%,adaptive_vs_shared_full_gain_%,adaptive_vs_shared_endpoint_gain_%
ETTh1,96,0.8783,-0.22616308055963055,-1.5805344916967863
ETTh1,192,1.9576,0.22023559597106496,0.6817037280839565
ETTh1,336,15.1233,-0.03839941252511148,0.18035539629963795
ETTh1,720,17.2641,-0.012511914512842611,-0.002157668967350654
ETTm1,96,1.1934,0.057731388666403524,0.7768549016057197
ETTm1,192,0.6612,-0.19377285270730504,0.34150129700032245
ETTm1,336,2.9182,3.334078557837711,3.429560310153113
ETTm1,720,9.4491,0.10877908738512453,-1.0082916678004614
Electricity,96,-0.0445,-0.6678245719026933,0.022874431035127568
Electricity,192,1.4992,-0.4854458219855382,-0.7086076565905371
Electricity,336,-2.1514,0.7314080029471551,0.22843288850640123
Electricity,720,0.6137,-0.734910484963616,-1.169655706527386
Solar,96,-1.1805,2.2269174099419944,-5.075081514998384
Solar,192,-1.5726,0.12859258131241016,0.5497278776639403
Solar,336,-1.5895,0.3790007742321097,0.11792198449449134
Solar,720,1.2143,0.13490802616452663,-0.2049482605855737
Weather,96,-1.3256,-1.0549196582800848,-0.21432501660117378
Weather,192,0.8131,0.2322440604378124,-0.3693813230023943
Weather,336,0.7264,0.6420042713877931,0.7697215698675238
Weather,720,-3.7116,-0.6223714045550472,0.8246975358458317
