dataset,pred_len,variant,C,K,shared_adaptive_jaccard,batch_size,new_trainable_params,checkpoint_fidelity_abs_diff,base_val_full_mse,base_test_full_mse,base_test_full_mae,base_test_endpoint_mse,base_test_endpoint_mae,best_val_full_mse,best_epoch,test_full_mse,test_full_mae,test_endpoint_mse,test_endpoint_mae,full_mse_gain_vs_base_%,endpoint_mse_gain_vs_base_%,val_improves_base,elapsed_sec
Electricity,96,DenseFineTune,321,10,0.4412400395444867,16,1627232,0.0,0.1307155517247028,0.1512831829626783,0.2436632994254559,0.1624429076163651,0.2547092448348918,0.1279593091076792,7,0.1498274873371307,0.2424705371890451,0.162507683917351,0.2555269921715762,0.9622322832186092,-0.0398763491348254,1,69.04103255271912
Electricity,96,SharedSparse,321,10,0.4412400395444867,16,1627232,0.0,0.1307155517247028,0.1512831829626783,0.2436632994254559,0.1624429076163651,0.2547092448348918,0.1267319307904246,8,0.1480619154143759,0.2414783907113372,0.161105859765057,0.2531719817802934,2.1292965187657806,0.8230878595609353,1,72.88511872291565
Electricity,96,HorizonAdaptiveSparse,321,10,0.4412400395444867,16,1627232,0.0,0.1307155517247028,0.1512831829626783,0.2436632994254559,0.1624429076163651,0.2547092448348918,0.1280693629194813,8,0.1490507092671429,0.2422705848738232,0.1610690077162715,0.2531122217369932,1.475691912224019,0.845774013931252,1,72.92349243164062
Electricity,192,DenseFineTune,321,10,0.5504205735463512,16,1676480,5.551115123125783e-17,0.1425162708881271,0.1643338638690664,0.2557517413275411,0.2115794646434295,0.2945577670858564,0.1412988991212417,1,0.1637014622889394,0.2553485875447684,0.2104161914649948,0.2934603641122345,0.3848273053635069,0.5498043869215231,1,36.39896368980408
Electricity,192,SharedSparse,321,10,0.5504205735463512,16,1676480,5.551115123125783e-17,0.1425162708881271,0.1643338638690664,0.2557517413275411,0.2115794646434295,0.2945577670858564,0.1394661497919998,7,0.1619908982837273,0.2540037808896663,0.2066469354201805,0.2917129637455274,1.425735104242365,2.331289206899936,1,73.36801052093506
Electricity,192,HorizonAdaptiveSparse,321,10,0.5504205735463512,16,1676480,5.551115123125783e-17,0.1425162708881271,0.1643338638690664,0.2557517413275411,0.2115794646434295,0.2945577670858564,0.1403903403292799,7,0.1627772763314425,0.2545300197685896,0.2081112514266776,0.2925660845949853,0.9472104537529188,1.6392012441267871,1,73.34424257278442
Electricity,336,DenseFineTune,321,10,0.4867021592955449,8,1750352,0.0,0.1596795728835678,0.1782219334044391,0.2722719952165661,0.213276941769765,0.3010748951158105,0.1577074876373367,7,0.1770569230904237,0.2710474508404365,0.2105438078487444,0.2986120006923202,0.6536851507337231,1.281495270112717,1,116.31283235549928
Electricity,336,SharedSparse,321,10,0.4867021592955449,8,1750352,0.0,0.1596795728835678,0.1782219334044391,0.2722719952165661,0.213276941769765,0.3010748951158105,0.1578184217068166,3,0.1761969993783261,0.2700712808044916,0.2102055363578476,0.2976356203429168,1.136186768616069,1.440101956841144,1,90.651615858078
Electricity,336,HorizonAdaptiveSparse,321,10,0.4867021592955449,8,1750352,0.0,0.1596795728835678,0.1782219334044391,0.2722719952165661,0.213276941769765,0.3010748951158105,0.1567997777663316,7,0.1749082804239203,0.2692996734742822,0.209725357779345,0.2977518528619622,1.8592846106090928,1.6652451788501086,1,119.89142441749571
Electricity,720,DenseFineTune,321,10,0.4284949404882276,8,1947344,2.775557561562892e-17,0.199930433405863,0.2113820003156427,0.3030516499479722,0.2889917343884952,0.3553258523345137,0.1969294196928278,5,0.2079107321030169,0.2995672035307668,0.2856657745514085,0.3529192501166236,1.6421777670011464,1.1508840708279888,1,115.45405864715576
