dataset,horizon,n_targets,shared_mlp_mse,adaptive_mlp_mse,target_win_rate,median_target_gain,mean_set_jaccard,pooled_adaptive_gain_%,adaptive_better
ETTh1,96,7,0.6983,0.679,0.2857,-3.5801,0.4714,2.7592,1
ETTh1,192,7,0.7549,0.749,0.2857,0.0,0.7857,0.7793,1
ETTh1,336,7,0.8219,0.7633,0.4286,0.0,0.7429,7.1191,1
ETTh1,720,7,1.1126,1.0099,0.2857,-1.5557,0.7857,9.2289,1
ETTm1,96,7,0.5968,0.5723,0.5714,0.0869,0.6286,4.1039,1
ETTm1,192,7,0.5442,0.5167,0.8571,2.9446,0.6,5.0467,1
ETTm1,336,7,1.1892,1.0502,0.8571,1.237,0.6714,11.6845,1
ETTm1,720,7,1.1952,1.1036,0.2857,0.0,0.8857,7.6633,1
Electricity,96,32,0.2673,0.2644,0.4375,-1.5788,0.4772,1.0749,1
Electricity,192,32,0.2528,0.2529,0.4062,-0.9979,0.5199,-0.0093,0
Electricity,336,32,0.242,0.2361,0.5938,1.6911,0.4678,2.4689,1
Electricity,720,32,0.3632,0.3532,0.5,-0.2453,0.4389,2.7541,1
PeMS03,12,32,0.1034,0.1066,0.3125,-3.3055,0.4743,-3.13,0
PeMS03,24,32,0.148,0.1504,0.4375,-0.7166,0.6057,-1.5861,0
PeMS03,48,32,0.2485,0.25,0.5,-0.7605,0.2711,-0.5754,0
PeMS04,12,32,0.1205,0.1204,0.4062,-0.7761,0.4773,0.082,1
PeMS04,24,32,0.155,0.1517,0.5938,2.051,0.6888,2.1034,1
PeMS04,48,32,0.2107,0.2018,0.4688,-2.5649,0.4128,4.2436,1
PeMS07,12,32,0.0882,0.0928,0.1875,-3.0683,0.3819,-5.255,0
PeMS07,24,32,0.1358,0.1432,0.3125,-2.6572,0.6185,-5.4874,0
PeMS07,48,32,0.2171,0.2176,0.4062,-4.6049,0.3404,-0.1971,0
PeMS08,12,32,0.1147,0.1068,0.6562,2.7737,0.382,6.8951,1
PeMS08,24,32,0.1584,0.1534,0.4375,-0.665,0.5591,3.1328,1
PeMS08,48,32,0.2297,0.2059,0.7188,12.5973,0.2682,10.3623,1
Solar,96,32,0.6226,0.6432,0.3125,-4.284,0.3728,-3.3026,0
Solar,192,32,0.6889,0.7077,0.1875,-3.8544,0.3455,-2.7309,0
Solar,336,32,0.6854,0.7069,0.125,-4.1337,0.3545,-3.1386,0
Solar,720,32,0.2664,0.2631,0.6875,1.4086,0.4175,1.2341,1
Weather,96,21,0.2724,0.2729,0.5238,0.0242,0.8031,-0.1561,0
Weather,192,21,0.4517,0.4528,0.3333,-1.2362,0.8007,-0.2477,0
Weather,336,21,0.5295,0.5144,0.6667,0.6985,0.8166,2.863,1
Weather,720,21,0.4315,0.4593,0.4286,-0.2973,0.6154,-6.4483,0
